,0
33,Nearly half a century of Congress misrule has all but shattered the internal polity of the country.
34,There is not one institution of the Republic left that can be said to now be in a state of total health.
35,"The Legislature, the Executive, unfortunately the Judiciary, and even the media have been afflicted by the mindlessness of the Congress’ exploitation and loot of our country."
36,The Bharatiya Janata Party well recognises that to correct this great wrong of the past five decades requires the skill and commitment of a Vishwakarma.
37,"With humility, we address ourselves to this task."
38,The first is to restore to our state its authority.
39,Perhaps never since the scourge of the Pindaries has the writ of our state been as enfeebled as by this Congress misrule.
40,"The primary task, therefore, is to restore to the state, and to governance, its honour and its prestige — izzat and iqbal."
41,For this the BJP will institute a set of measures.
42,This is a challenge that is principally moral and only then functional.
43,"The BJP commits itself, therefore, to: Addressing purposefully to the many challenges being posed to us in Jammu & Kashmir and in the North-East of India."
44,"We are of the view that in both these strategically important border regions of the country, misgovernance, neglect and emotional separation from India lie at the root of the problems."
45,Terrorism and challenges to the state will be met forthrightly; changes in law where warranted will be brought about expeditiously; the approach will be firm   but always fair.
46,"To translate this Manifesto into reality, to fulfil our destined role of leading India into the next millennium, the Bharatiya Janata Party seeks the support and cooperation of all our citizens."
47,Launching a major nationwide drive to identify influx of illicit arms and their possession.
48,Proliferation of small arms affects directly the law and order in the country as also the security of the nation.
49,We recognise that narcotics smuggling and narco-terrorism are linked.
50,The country must be rid of both.
51,The law in this regard will be made more effective and implemented.
52,"Toning up the administration (as enumerated subsequently) and reforming its functioning, accountability and responsibilities."
53,"Rationalising the number, structure, composition and role of paramilitary forces, including recent initiatives like National Security Guard (NSG), Rapid Action Force (RAF) and Special Protection Group (SPG)."
54,We will review the personal security arrangments: We believe that the security of the high dignitaries of the country is the responsibility of the state.
55,"This security, however, should neither be exaggerated nor intrusive."
56,It should not ever be at the cost of the collective convenience of the citizens of the country.
57,The BJP will reform this.
58,"An Agenda for Change Constitutional Reforms The BJP believes that Centre-State relations, which have been on a downslide for the past 50 years, need to be improved."
59,We also believe that reforms are needed for a stronger Union and equal rights for all citizens.
60,"The BJP will implement the main recommendations of the Sarkaria Commission, such as: (a) Restoring the balance of resources in favour of the States; (b) Ending the misuse of Art 356 to dismiss state governments and dissolve state assemblies."
61,"We will   2 the possibility of making it mandatory for the Union Government to seek Parliament’s approval by two-thirds majority for dismissal of state governments and, (c) Consulting state governments before appointing Governors."
62,"We promise to carve out Uttaranchal, Vananchal, Vidarbha and Chhattisgarh and give them full statehood."
63,We will further consider setting up a commission to examine the formation of smaller states.
64,Delhi will be given full statehood.
65,"The BJP will provide Jammu, Kashmir and Ladakh in J&K state with regional development councils."
66,"We will abrogate Article 370 of the Constitution, which puts Jammu & Kashmir on a separate and separatist pedestal, for the state’s full and final integration with the Union."
67,We will set up an inter-state council under Article 263 of the Constitution to settle all inter-State and Centre-state disputes to avoid ad hoc responses to issues like that of Cauvery waters.
68,The BJP is committed to Article 44 of the Constitution.
69,"We will adopt a Uniform Civil Code which will be applicable to every community and foster a common Bharatiya identity, apart from ensuring gender equality."
70,Regressive personal laws will cease to have legal validity.
71,The manner of appointment of constitutional functionaries will be reviewed.
72,We will maintain a national register of citizens and introduce a multipurpose identity card.
73,"Electoral Reforms The BJP carries a conviction that amongst the many causes that have brought the state of our polity to its present plight, a major factor is faulty elections."
74,"We will, therefore, immediately on assuming office, implement various electoral reforms."
75,"For free, fair and fearless elections, the BJP will: Update and adopt the Goswami Committee report; Grant statutory status to the Code of Conduct drawn up   by the Election Commission and give it teeth; Introduce a scheme of state-funding of candidates to all legislatures; Provide suitable incentives for open, official corporate funding to all recognised political parties; Undertake fresh delimitation of Lok Sabha and Assembly constituencies on the basis of the 1991 census; Make it mandatory for political parties to submit audited accounts for public scrutiny annually; Examine the feasibility of introducing the list system; Expedite the process of issuing identity cards to all voters and make it a mandatory requirement for voting; Scrutinise all voters’ lists to ensure that no legitimate voter is excluded; Take steps to curb expenditure on elections by imposing a ban on advertisements, cutouts, etc; Introduce electronic voting machines to hasten the process of counting; Examine the possibility of simultaneous elections to the Parliament, State Assemblies and Panchayats; Ensure speedy and exemplary punishment for those who indulge in booth-capturing; Officials found guilty of involvement in poll rigging will be given exemplary punishment; Amend the anti-defection law whereby a member of any Legislature who changes parties will lose his or her membership of the House; and, Prevent the misuse of Doordarshan and A.I.R."
76,by the ruling party.
77,Corruption & Its Cure The BJP treats this affliction as the single greatest wrong that the Congress misrule of the past 50 years has brought about on our land.
78,"The corruption that now corrodes our country is of the spirit, it is moral, and it is also financial."
79,The challenge thus to governance is principally of setting an example — of impeccable probity and unimpeachable accountability of all public men and women.
80,"This must not cover simply the elected representatives   2 the people but also the executive, the police and, indeed, even the judiciary, where the touch of corruption can easily be felt."
81,"The BJP will address itself to this challenge and task, by adopting measures that are mentioned here."
82,We do not claim that this is either the ultimate blueprint for the reduction of corruption or the last word on it.
83,"It is an expression of our commitment; a first step to setting right a very great wrong of many years’ malignancy; a beginning and that, too, with ourselves."
84,"For a clean public life in which morality and ethics find due recognition, the BJP will: Make it obligatory on every elected representative to make, public his entire income and wealth within 90 days of election; Introduce extensive regulations and requirements upon those who hold public office so that no conflict of interest is ever permitted to influence a proper discharge of their duties; Appoint a Lok Pal to entertain complaints of corruption against anybody holding public office, including the Prime Minister; Take measures to modify and reform the methodology of government approval for contracts, schemes and large money value agreements so as to make them more transparent."
85,"The powers of patronage, the right to say ‘Yes’ or ‘No’ to simple daily requirements of the citizens will be reduced drastically."
86,"A government that intrudes the least, we hold, governs the best."
87,"We will endeavour to combine this with open and transparent governance; Expeditiously deal with cases of corruption unresolved and in which no action has been taken in the past 10 years; Take steps to ensure that investigative and intelligence agencies like RAW, IB and CBI are not used to subserve the political designs of the ruling party."
88,"Judicial Reforms For speedy, fair and inexpensive justice, the BJP will: Appoint special judges to clear the huge arrears at all levels of the judiciary; Fill the vacancies in the High Courts and the Supreme   Court without any further delay; Legislate to the effect that courts do not give unending adjournments and complete cases within one year."
89,"Constantly review the salaries and pension benefits of all judges so as to attract the best legal talent to the judiciary; Expand and strengthen the existing legal aid facilities for economically weaker sections of the society; and, Set up a National Judicial Commission which will be responsible for making judicial appointments in the High Courts and the Supreme Court."
90,"Panchayati Raj For better local self-governance at the village-level, the BJP will: In the light of recent experience, make changes in the Constitution 73rd and 74th amendments to further strengthen the Panchayati Raj system; and, Endeavour to make the panchayats financially self-sufficient."
91,"Administrative Reforms For a caring, just and accountable administration, to provide high quality services the citizens value and for a new paradigm in public administration, the BJP will: Make the district administration accountable for any outbreak of violence; institute a time-bound inquiry; publish the findings; punish the guilty; and, compensate the victims; Update and implement the National Police Commission report in a time-bound manner; Ask each Ministry/Department to set clear performance standards, including cost consciousness, in quantifiable terms and monitor the adherence to these standards; Introduce a scheme of fixed minimum tenure for some identified posts at higher ranks, e.g."
92,"Chief Secretaries, Secretaries to Government, DGPs, etc; Disfavour extensions to bureaucrats and police officers; Institute an annual Sardar Patel award for the best three district officers, as a beginning; Ensure uniform housing and other related facilities for   2 in the same grade and in the same station."
93,"The system of allotment of houses will be made transparent; Introduce a system of allowing lateral entry of personnel from the private sector, NGOs, educational/research institutes into government; Identify areas from which government must withdraw so that departments can be wound up in a phased manner; Strengthen the department of administrative reforms at the Centre and in the States; and, Give the citizens what is their due."
94,"A huge divide today separates the citizen, the society and the state."
95,"This is principally on account of the state not treating the rights of the citizens as sacrosanct; not fulfilling its obligations towards the citizens sincerely; and, not providing to the citizens the services that are its bounden duty."
96,"The BJP will, therefore, identify such areas as warrant immediate correction, as they affect the daily life of the ordinary citizen, and implement reforms in them within a given timeframe."
97,"Shri Ram Mandir at Ayodhya The BJP is committed to the concept of one nation, one people, one culture — our nationalist vision is not merely bound by the geographical or political identity of India, but defined by our ancient cultural heritage."
98,From this belief flows our faith in ‘Cultural Nationalism’ which is the core of Hindutva.
99,"That, we believe, is the identity of our ancient nation — Bharatvarsha."
100,Hindutva is a unifying principle which alone can preserve the unity and integrity of our nation.
101,"It is a collective endeavour to protect and re-energise the soul of India, to take us into the next millennium as a strong and prosperous nation."
102,Hindutva is also the antidote to the shameful efforts of any section to benefit at the expense of others.
103,"We hold that only by recognising the limitless strength of cultural nationalism, can the nation be moulded."
104,"When the BJP joined the movement for the construction of the Shri Ram Mandir at Ayodhya, it was to strengthen just these foundations."
105,"On coming to power, the BJP Government will facilitate the   construction of a magnificent Shri Ram Mandir at Janmasthan in Ayodhya which will be a tribute to Bharat Mata."
106,This dream moves millions of people in our land; the concept of Rama lies at the core of their consciousness.
107,"   2 Economy, Action And Direction Economic Growth and Employment Through Swadeshi Four decades of Congress misrule have ruined the economic creativity of our country; these decades failed to place the country on a sound economic footing, befitting India’s stature as the largest democracy in the world."
108,"The experiments of the Congress, with vastly divergent models, have brought the country, from time to time, to the brink of crisis."
109,"The passive victim of all these experiments has been the long suffering citizen of our country; even as under- nourishment, malnutrition, illiteracy and deprivation afflict a large percentage of them; even as the quality of life gets fractured between India and Bharat."
110,We commit ourselves to bringing certainty in economic policy.
111,The Bharatiya Janata Party is proud of India’s heritage and has an abiding faith in the creative genius of every Indian.
112,We are committed to an economy that enables India to achieve its destiny in the forefront of the nations of the world.
113,"In 1991, the present government claimed that it inherited an economy which had a slender foreign exchange reserves."
114,"Accepting IMF conditionalities, it initiated a programme of deregulation of industry, trade and exchange rate policies, a radically different approach to foreign investment."
115,"The consequential foreign exchange reserves that it will be leaving, as a legacy to the successor government, are, however, fragile, being composed mainly of quick-sand components of foreign institutional investments and FCNR deposits."
116,Foreign direct investment (FDI) is only a minor component of them.
117,An enormous $7 billion becomes ripe for debt servicing in 1996-97 itself.
118,"In its zeal to contain fiscal deficits task in which it failed, the fiscal deficit continuing around 7% of GDP—it   pruned developmental expenditure beyond acceptable limits, in consequence constraining growth."
119,"Despite the proclaimed deregulation, over the past five years, all earlier structures and institutions of the License Quota-Permit Raj remain intact."
120,Social infrastructure has been neglected and the lot of the poor and deprived has further deteriorated.
121,"The country’s defence requirements were also neglected, thereby putting the nation’s security in jeopardy."
122,"The neglect of infrastructure by this government has left a legacy of a fractured physical infrastructure—roads, railways, post, power, telecom—are grinding to near immobility, in the process constraining growth elsewhere in the economy."
123,"In its methodology for containing the budget through limits on monetisation of the deficit, this government has compulsorily resorted to heavy borrowings, which in turn, has resulted in liquidity to the rest of the economy and a heating up of the interest rates."
124,"Our domestic industry, starved of liquidity, is in danger of slipping into recession."
125,"In totality, this government will leave an economy more fragile and shattered than what it inherited in 1991."
126,"The challenges thus, to us in our bid at governance, are formidable."
127,"Our Economic Thought In outlining our strategy, we recognise that the post Cold War world has adopted the market place for fast economic growth."
128,"However, our thought is defined by the following: (i) Market may ensure growth, but it cannot ensure redistribute equity and justice."
129,"The state continues to have a role to play; (ii) The poor and deprived have, therefore, to be helped by the state to cross the poverty line and to attain a sustainable minimum quality of life; (iii) On the economic front, the old order, based on comparative advantage of labour or resources, is giving way to a new order built on the basis of human resources, skills and technology."
130,"A proper policy can make it India’s strength; and (iv) A society such as ours has to innovate its own strategy, to adapt itself to the high-tech challenges of a supposedly   2 world, without the attendant social stresses, economic instability and the abandonment either of its identity or of its own socio-cultural ethos."
131,"This is the essence of our Swadeshi approach: A self-reliant India, asserting its national economic interests, not as autarchy, but as a pre-requisite to meeting the challenge of globalisation; of preserving our identity without compromising our sovereignty or self respect."
132,We reject unbridled consumerism and believe in adherence to sustainable consumption and growth.
133,Foreign investment will be required and encouraged for world class technology.
134,"But when foreign savings have to supplement and assist the economy in circumstances where domestic savings are inadequate, we compromise with the nation’s long term interests."
135,"While many countries which started late but arrived much earlier than India, managed their growth on savings levels around 35-40% of GDP, the Indian domestic savings rate has steadily declined to a low level of 20% of GDP during Congress rule."
136,"This is grossly inadequate for even the current level of investment, let alone the levels required for a faster growth of the economy."
137,"Not only have private savings declined, more worrisomely, governmental savings are now virtually nil."
138,"We recognise two immediate priorities—first, providing the physical and economic infrastructure that is appropriate for the stipulated growth in our GDP; second, providing the required social infrastructure for a minimum sustainable quality of life."
139,To attain these and yet contain fiscal deficit requires a different approach.
140,"The BJP will work towards pruning non-developmental expenditure; minimise the commercial activities of government; severely cutting back on bureaucracy; shedding the structures of controls and regulation; and re-equipping itself for its new role of providing a framework for free market operations for growth, accentuating programmes for poverty eradication and social Infrastructure."
141,Fiscal Reform and Taxation We believe that taxation alone cannot be the base for revenue.
142,A stable and fast growth is possible only through a high order of   investment matched by an appropriate level of domestic savings.
143,The present government has done a great disservice by encouraging avoidable consumerism and diverting the depleted savings into speculative rather than safe and productive channels.
144,"• We will structure our fiscal reforms so that savings and contracted savings are augmented to levels that will take care of a higher order of investment needed for faster growth; • In taxation, we will ensure that not only levels and rates of taxation are such that growth is not constrained, but that the burden-sharing of taxes is equitably distributed among all affluent sections of society."
145,We will mitigate the undue rigours of indirect taxes—today indirect taxes constitute 71 % of tax revenue—so that productivity and growth are not hampered.
146,We will devise a suitably structured valued added tax (VAT) so as to ensure better burden-sharing among ‘goods and services’ that contribute to value addition.
147,"• In tariffs we will ensure that the domestic sector gets a level playing field, and does not become uncompetitive; • We will also strive to lighten the debt burden on the nation."
148,This in turn will contribute to interest rate stabilisation; • We will not hike Excise Duties on items of mass consumption; • We will examine the aspect of sales tax reform and equalisation.
149,"• We will ensure operational autonomy of the RBI; • We will adopt firm measures to prevent the generation of black money; • We will rationalise and simplify the present tax structure and raise the Income Tax exemption limit to ₹ 60,000; • We will provide weighted deductions taking number of dependents on earning member; • We will exempt all investments in approved organisations, private OR public, from the levy of Wealth Tax."
150,; • We will give tax reliefs to employment-oriented industries in non-municipal areas; • We will ensure minimum contribution to government   2 by all profit-earning business units.
151,"The concept of ‘zero business units’ will be done away with; • We will give special tax concessions to writers, artists, academics and others engaged in intellectual and cultural pursuits."
152,Price Stability and Consumer Protection It is our firm belief that the price level can be controlled only through maximisation of production and a minimisation of costs of production.
153,"This is to be achieved through technology upgradation, economics of scale and free competition."
154,"Towards this end, the BJP will: • Ensure an efficient, low-cost, corruption-free PDS, so that there is a regular, assured, timely and adequate supply of commodities to the consumers in the rural, tribal, remote and backward areas of our country; • Supply better quality foodgrains through the PDS by enhancing the norms for quality standards rather than easing them as has been done by the Congress; • Make pulses, cooking oil and soap also available through PDS, in addition to food-grains, sugar and kerosene; • Improve the Consumer Protection Act of 1986, and ensure its application; and, • Encourage consumer movements."
155,"Black Money and Corruption Starting from its Jana Sangh days, the BJP has been waging a relentless battle against the twin evils of corruption and black money."
156,"We are committed to rooting out corruption, thus also the malignancy of black money."
157,"• We will encourage capital creation through funds from such a parallel economy, retaining the right of government to tax the revenue flows from such created capital."
158,"• The BJP will open up sectors such as social forestry, wasteland development and housing for rural and urban poor."
159,"• We will also review the rationale of the Urban Land Ceiling Act, in this context."
160,"Infrastructure We hold that power, telecommunications, transport (surface, sea and air) constitute the basic building blocks of our development."
161,"With hardly 50% of the roads surfaced, about 40% of the traffic volume is handled by the National Highway System (NHS) which constitutes hardly 2% of the road network."
162,Our Railway network has grown only by 16% over five decades.
163,The ports have become the greatest constraint on our world trade.
164,The dimensions of the power and telecommunications situation cripple development.
165,"• We need to actively develop a National Waterways network; • To meet our minimum needs, a staggering 10,000 MW have to be added annually for the next 15 years."
166,Irrigation needs press upon our resources.
167,All these call for large investments.
168,"• We propose, therefore, to lay the foundations of a strong bond market in the country which can take care of the massive financial requirements."
169,We invite foreign capital in the field of infrastructure.
170,• We will initate a framework which will facilitate quick redressal of the acute infrastructure crisis based on international co-operation and partnership.
171,"• We will strive to confine the role of the state to that of a facilitator, withdrawing in favour of suitably structured independent regulatory authorities."
172,Public Sector At present the policy relating to public sector is in disarray.
173,"• The BJP believes in confining the public sector only to sensitive areas where the nation’s security is involved and to areas where the presence of public sector is necessary for providing a moderating or counter-poising role to the ill effects, if any, of an unchecked private sector."
174,• Public sector presence will continue in areas furthering social objectives.
175,• The remaining public sector that would continue will be managed with the least interference by government.
176,"In the case of disinvestment from ailing, non-profitable or sick   2 sector undertakings, the BJP will constitute a Disinvestment Commission for taking care of disinvestment from the country’s public sector."
177,"• While disinvesting, care will be taken so that the workers’ interests are not harmed."
178,• The National Renewal Fund will be realigned to take care of the constant requirements of retraining and redeployment of workers that may be necessary in a fast growing economy.
179,• Sales proceeds from PSU disinvestment will be utilised only on capital expenditure.
180,Foreign Trade and Capital Foreign Trade Policy has in the past degenerated into one of providing palliatives.
181,It has now become necessary to strengthen the interface between industry and trade.
182,"• We will select core industries and a system of destinations and initiate an integrated production for export planning with selective intervention so that this sector, so vital to the economy, acquires dynamism."
183,• We will also strive to forge such alliances with or memberships of regional trading blocs that will give further impetus to our exports.
184,"The BJP welcomes foreign investment, because we hold that it supplies knowledge, technology and know-how and sharpens the quality and competitive edge of our economy."
185,"• We will, however, strive to minimise our dependence on foreign savings."
186,• We will prioritise foreign investment in sectors that will promote exports in preference to sectors that will cater solely or exclusively to the domestic market.
187,"• Keeping in view that dissemination of world class technology is an objective of foreign investment, we will give preference to overseas investors who have domestic partners."
188,"• We will encourage foreign investment in infrastructure, areas of high technology and R & D within India."
189,"• As for MNCs in consumer non-durables, we do not consider   them as areas of priority."
190,"Industrial Policy Industry in India has to be enabled to become more productive, more innovative."
191,"Only then will it fulfil its main goal: Enhance the national wealth, provide greater employment in ever increasing numbers and thus assist the growth of other sectors, including agriculture."
192,"For, we ecognise this inseperable interdependence."
193,"Our exports must compete with the best in the world, add to our resources and fiscal health, and thus enable India to achieve the status that we believe is its destiny."
194,The BJP assures all about creating a healthy investment and industrial environment.
195,The BJP believes in the continued role and relevance of the small-scale sector.
196,"This important segment of our national economy, which has been entirely ignored by the Congress and whose very existence is threatened by the present policy of economic liberalisation, will receive all encouragement and help from a BJP Government."
197,The following principles will guide the industrial policy of the BJP: A.
198,Economic Sovereignty The party regards the preservation of the nation’s economic interests as a component of our external economic relations.
199,"Globalisation, to us, is not a synonym for the obliteration of national economic interests."
200,"Indeed, in the ensuing global competition we need to be constantly mindful of preserving them."
201,"B. Modernisation BJP stands for a mode 24 and progressive India, open to new ideas, new technology and fresh capital."
202,A modern India to the BJP is not a westernised India; a pale copy of the western economic models.
203,C. Decentralisation We stand for a decentralised economic order.
204,The BJP stands for political as well as economic democracy.
205,The role of the government   2 change from the restrictive to the supportive and encouraging.
206,"The BJP will, therefore: • Debureaucratise industrial approvals and cut down the plethora of restrictive controls."
207,Industrial Development and Regulations Act will be replaced by Industrial Development Act; • Encourage research and development as part of the process of industrial growth and over-all modernisation; • Hazardous industries will be permitted only in specified areas.
208,Separate industrial satellites will be set up exclusively for such units; • Small-scale sector will be given all importance and encouragement.
209,"We will establish agencies to help the small-scale sector in purchasing, marketing and selling their products; and, • Ensure a healthy capital market."
210,"   Our Concept Of Employment And Labour’s Role Creating Jobs and Opportunities Apart from employment which will be created in the normal course by the growth of the economy, special employment schemes will be undertaken by the Bharatiya Janata Party to eradicate unemployment."
211,The BJP proposes to introduce a scheme of voluntary National Service to undertake the task of national reconstruction and also in order to instill a sense of discipline and nationalism among the youth of the country.
212,"This service will aim at reclaiming wasteland for commercial use—for instance, after reclaiming the waste land, it will be used for horticulture, social forestry or any other purpose that will provide the youth involved in the reclamation with continued income."
213,"Similarly, the National Service will be used for river management schemes."
214,"Apart from this, the BJP proposes to: Increase employment opportunities in all sectors of the organised economy; Introduce policies and programmes to: (i) Develop agriculture, particularly in regions which are at present less developed and backward."
215,"(ii) Promote industrial growth with special attention to village, cottage and small-scale sectors."
216,Special emphasis will be laid on agro-industry.
217,(iii) Undertake large-scale housing activity that will generate both jobs and additional shelter in both rural and urban areas.
218,2 (iv) Provide transport facilities with special emphasis in improving availability of transport in rural areas.
219,"(v) Augment employment opportunities in villages through Schemes like Antyodaya, Gokul Gram, Gopal Gram, Saraswati Yojana as already being implemented by BJP governments in Rajasthan and Gujarat."
220,"(vi) Provide and improve infrastructure, especially in rural areas, such as roads, small dams and water conservation projects."
221,(vii) Promote vocational training.
222,Labour BJP believes in healthy trade unionism.
223,"It will: Rationalise and simplify Labour Laws; Recognise unions on the basis of secret ballot and have provisions for comprehensive bargaining; Introduce worker participation from the shop floor to the board room in all public sector projects, public limited companies and foreign companies operating in India; Protect workers against inflation; Evolve an effective mechanism and ensure better implementation of laws to protect labour from occupational health hazards arising from industries like asbestos, cement, slate, mica, chemicals, textiles, etc."
224,"The workers will have the right to be informed about the possible health hazards they could be exposed to on the shop floor; and, Not allow an exit policy without fulfilling corresponding obligations towards labour."
225,"Government Employees BJP will set up a permanent Employees Welfare Board with a view to resolving the long-standing problems related to: Time scale promotion; Revision of pay scales and award of bonus; Implementation of awards; Housing; and, Social welfare measures and travel concession for retired  personnel."
226,"Our Scientific Talent, Our Technology Harnessing Nature For Human Welfare The BJP believes that science and technology must play its due role in transforming India into a prosperous and strong country."
227,"The BJP will apply appropriate scientific and technological methods for increasing productivity, eradicating poverty, hunger and disease and providing meaningful employment along with the basic amenities of life."
228,We believe that science and technology need to be harnessed to improve the lot of the vast section of our population living below the poverty line.
229,We hold that science is not merely harnessing nature for material wealth but is as well for liberating and enriching the mind and enlarging the human spirit.
230,The BJP will use science in the service of the poor and develop technology that has a humane face.
231,"Towards this end, we will: Foster a scientific temper among the people; Use science and technology for increasing productivity and generating employment; Implement a vigorous programme of science education and research for improving quality of life; Establish a network of centres for application of science and technology to rural areas, implement ‘lab-to-land’ programmes and develop a strong low-cost agro-Industrial base; Put new life into National Laboratories to develop them as centres of excellence in applied research; Direct these laboratories to evolve appropriate technology for Indian needs; Accelerate the production of scientific literature in regional languages and evolve a national terminology for science   2 technology; Create the right working conditions for our best brains to remain in India and serve the country and not migrate to other lands; Make a systematised effort to bring national laboratories and industry together by setting up ‘Technology Parks’ to be patronised by industry."
232,"This will promote cooperation between industry’s resources and talent in laboratory; Safeguard national interests and our intellectual property rights by encouraging research and development; Undertake research in the field of drugs, micro-biology, bio-technology, bio-fertilisers etc."
233,"; and, Strengthen research in indigenous systems of medicine."
234,"   Our Foreign Policy India, the New Millennium, the World In a post-Cold War world India will be confronted by many new challenges and opportunities."
235,"To meet them, to benefit from the opportunities, mindful of the existing global disequilibrium and in consonance with India’s national interests, our foreign policy in the emerging decades will be based on the human values of peace, equality and cooperation."
236,"The BJP holds that as a departure from the recent past, Indian diplomacy should be conducted in tune with India’s position as a strong power and a major player in the world arena."
237,A billion people who do not depend upon anyone for feeding or clothing themselves are a power which cannot be ignored.
238,Our nation needs to regain its lost pride and the BJP alone can undertake this task.
239,"While we believe in partnership with everyone, we reject the very thought of patronage by anybody."
240,The BJP’s foreign policy will be guided by the following agenda: Sovereign equality amongst nations; a rejection of political or economic hegemonism.
241,"Promotion of Asian solidarity; development of South Asian Regional Cooperation; and, emphasis on improved relations with neighbouring countries."
242,The BJP does not accept outside interference in this region as being beneficial for it.
243,Pakistan continues to follow a policy of fomenting insurgency seeking to create instability and unrest in India.
244,The BJP stands committed to thwarting all these attempts.
245,"In this context, we state: (a) The BJP affirms unequivocally India’s sovereignty over   2 whole of Jammu & Kashmir, including Pakistan occupied Kashmir; and, (b) The BJP declares that it will not accept any interference in our country’s internal affairs."
246,Our relations with the USA will be based on mutual respect and a congruence of interests.
247,"We note, however, that US policy for this region continues to suffer from lack of vision and that it disregards India’s political and security interests."
248,India and Russia have a long tradition of good relations and have much to gain from the compatibility of their geopolitical interests in Asia.
249,The BJP will endeavour to further explore the avenues of bilateral cooperation in this direction.
250,Our relations with the People’s Republic of China offer an opportunity to now put them on a footing of friendship and cooperation.
251,For this we need to resolve the border question in a fair and equitable manner.
252,"It cannot, however, be ignored that the People’s Republic of China continues to support Pakistan militarily and otherwise."
253,"The BJP greatly regrets the continuing bloodshed in Sri Lanka, particularly as India all through its history has had warm fraternal ties with all sections of the population in that country."
254,The BJP is confident that within a united Sri Lanka it should be possible to fulfil the aspirations of the Tamil people.
255,"The BJP pledges to maintain warm and friendly relations with Nepal, with which India has the closest cultural, religious and historical ties."
256,The BJP will work actively for resolving all outstanding issues.
257,We welcome the restoration of democracy in Nepal.
258,The BJP views with great sympathy the struggle for restoration of democracy in Myanmar.
259,"It extends its support to the task of reconciliation and reconstruction in that country with which India has a long border and age-old religious, cultural and historicalties."
260,The BJP will try to consolidate further the close and friendly ties between India and Bhutan.
261,"In our relations with Bangladesh, illegal immigration into India from that country has proved a major irritant."
262,This issue has cast its shadow on our bilateral ties and needs to be resolved early.
263,"Millions of sons and daughters of Mother India, settled abroad as Overseas Indians, are considered by the BJP as an asset to the country."
264,Their emotional attachment to the motherland is still deep.
265,This must find due expression.
266,Schemes will be drawn up to attract substantial investments by non-resident Indians.
267,"They will be welcome to set up industrial units and industrial parks, and invest in the infrastructure."
268,The BJP will examine afresh the issue of dual citizenship.
269,The BJP will launch a vigorous campaign for a permanent membership for India in the UN Security Council.
