,0
70,"The Home Minister even linked India's nuclear weapon status to the resolution of the Kashmir dispute, thereby inviting the internationalisation of the Kashmir issue."
71,Pakistan retaliated with its own tests and a nuclear arms race has been launched detrimental to the interests of the peoples of the two countries.
72,"After adopting an aggressive posture, the Vajpayee government soon retreated and succumbed to US pressures."
73,It agreed to sign the CTBT.
74,This unprecedented step could not be implemented because of the fall of the Vajpayee government.
75,The United States is banking on the BJP to complete the act of betrayal of India's interests by signing the CTBT and making undisclosed commitments on the Fissile Material Cutoff Treaty.
76,4 The Vajpayee government set up a National Security Council.
77,"Then it made a mockery of the NSC, with it having no role whatsoever during the Kargil conflict."
78,The BJP-led government has compromised national security by interfering in the higher echelons of the armed forces.
79,The dismissal of the Naval Chief of Staff is the most glaring illustration of this.
80,"Blinded by its own rhetoric of India becoming a big power and of security being enhanced with nuclear weapons, the Vajpayee government is directly responsible for the fiasco of not detecting the large-scale Pakistani intrusion in Kargil in time."
81,"Kargil and After Lulled into complacency by the Lahore bus trip of the Prime Minister, the Vajpayee government was caught unawares when the large-scale planned intrusion by the Pakistan armed forces was organised."
82,It is now clear that the planning began late last year and the Kargil infiltration took place around the time Prime Minister Vajpayee visited Lahore.
83,The early reports indicating the violation of the Line of Control were either ignored or not taken seriously in the anxiety to project the Lahore bus trip as a great achievement of the Prime Minister.
84,The country had to pay a heavy price for this gross negligence.
85,For over two months the Indian armed forces had to battle in difficult conditions to evict the intruders from the Indian side of the LoC.
86,The heroic fight waged by the Indian jawans and officers has resulted in India defending its territorial integrity.
87,This was achieved due to the bravery of the armed forces who worked in enormously difficult conditions in the icy heights to undo the damage caused by the unnoticed intrusion.
88,Pakistan had planned this provocation to internationalise the Kashmir issue; it invoked intervention by the US and the Western powers by highlighting that both the countries involved in the conflict possessed nuclear weapons.
89,Now Pakistan expects direct talks on Kashmir under US auspices.
90,The Vajpayee government in its over- eagerness to get American support has willy-nilly provided the US the status of a mediator or facilitator.
91,What Kargil highlights is the need to reverse the shortsighted positions taken by the Vajpayee government with regard to our security and foreign policy.
92,Forgotten Commitments The BJP had no time for fulfilling any of its elementary pledges.
93,"For instance, • What happened to the 8–9 per cent annual rate of growth of GDP?"
94,• What happened to the promise of providing one crore jobs a year (ten crores in ten years)?
95,• What happened to the 20 lakh additional housing units annually?
96,• What happened to the 33 per cent reservation for women in Parliament and state legislatures?
97,5 • What happened to the Lok Pal Bill?
98,• Where are the promised electoral reforms and the National Judicial Commission?
99,The record of the Vajpayee government is one of unscrupulous politicking; opportunist compromises with miniscule parties to remain in power; industrial recession and economic stagnation; generous handouts to Indian and foreign big business; relentless price-rise and growing unemployment; authoritarianism and RSS penetration in organs of the state; unprecedented attacks on minorities and harmful positions on foreign policy and national security.
100,Congress is Not the Alternative The strengthening of the democratic and federal system in our country requires a vibrant multi-party democracy.
101,The CPI (M) rejects the contention that the choice for the people should be reduced to a BJP-led combination or a Congress alternative.
102,The Congress party's basic policies do not provide a democratic alternative to the BJP.
103,"It still advocates economic policies initiated in 1991, which are against the interests of the toiling people of the country."
104,The Congress party is bereft of the political and ideological will to rally all the secular and democratic forces to fight the menace of communalism.
105,"It has not shown any determination to stamp out corruption, which marked its earlier period of rule."
106,"On questions of economic policies, the BJP and the Congress have no basic differences."
107,"Whether it be privatisation and further liberalisation, opening up of insurance or the patents bill, the Congress does not offer any alternative to the disastrous performance of the BJP-led government."
108,It is only the CPI (M) and the Left forces which have a consistent record in opposing the pro-big business-MNC policies and fighting for alternative policies.
109,"Strengthen the CPI(M) and Left To strengthen the Left forces who are the firmest defenders of secularism and the interests of the working people, it is necessary that the CPI (M) and the Left succeed in registering big victories in West Bengal, Kerala and Tripura where the main contest is between the Left-led forces and the Congress/Trinamul Congress."
110,"For the future of secular democracy, national unity and to advance the struggle for social and economic justice, it is essential that the CPI (M) and the Left parties come back with increased strength in the Lok Sabha."
111,"It is the effective intervention of the Left, which will enable all the democratic and secular forces to work for an effective third alternative."
112,Record of the Left 6 The Left parties have a consistent record of not compromising with communalism in any form.
113,The Left parties stand for uniting all sections of the people in order to advance the struggle to bring in alternative policies opposed to liberalisation and communalism.
114,"The record of the Left-led governments of West Bengal, Kerala and Tripura is a testimony to the progressive alternative that can be put in place if the Left and democratic forces are strengthened at the national level."
115,"Implementing land reforms, ensuring democratic functioning of the three-tier panchayat system, empowering the people with more democratic rights, defending secularism, maintaining communal amity and expanding the rights of the working people—these are all the gains made in the three Left-ruled states."
116,These elections will put in place a government which will provide the direction for India on the threshold of the 21st century.
117,"The choice is clear: We have to decide whether we wish to strengthen India as a secular republic, a republic in which all citizens are treated equally in every sense, or whether we wish to plunge India into an abyss where sectarian religious hatred and discord becomes the norm."
118,• Defeat the BJP and its Allies.
119,• Strengthen the CPI(M) and Left.
120,"• Support the Left, democratic and secular forces for a secular government."
121,"Part - II More than fifty years after independence, the policies pursued by successive governments in favour of the big capitalists and landlords have resulted in the all- round failure to solve the basic problems of the people."
122,"Despite the advances made due to the collective efforts of all sections of the people, growing disparities, hunger, unemployment, illiteracy and disease are the lot of millions of Indians."
123,It is only the CPI(M) and the Left parties which address the basic issue of presenting alternative policies -- policies which can end social and economic inequalities.
124,"As India enters the 21st century, the struggle for a more democratic society, economic and social justice for all citizens and the strengthening of national unity requires a comprehensive alternative platform of policies."
125,This will constitute the basis for a third alternative.
126,"In the present elections, the CPI(M) wishes to advance the struggle for such a set of policies."
127,Strengthen Secular Foundations The CPI (M) advocates: • Legislation for separation of religion and politics in light of the Supreme Court judgement in the Bommai Case; • Effective prohibition on the use of religions issues for electoral purposes; • Implementation of the Protection of Places of Worship Act to see that no disputes on religious places arise; 7 • The Ayodhya dispute to be referred to Supreme Court under Article 138(2) for a speedy judicial verdict; • Special steps to prosecute all those found guilty by the Sri Krishna Commission for the Mumbai riots of 1993.
128,"Federalism for National Unity The CPI (M) will work for: • Greater powers to the states in the economic and political spheres; • Constitutional amendments for devolving more powers in the economic, fiscal and administrative areas; decentralisation of powers to the district bodies and panchayats; ensuring local participation in formulation of plans and projects; • The federal system has to be institutionalised by activising the Inter-State Council and empowering the National Development Council with sufficient powers; • Priority for replacing Article 356 with a suitable provision so that the draconian power of the Centre to dismiss state governments is curbed; this power to be exercised only in extreme contingencies where there is a direct threat to national unity or an onslaught on the secular basis of the State; • Maximum autonomy for the state of Jammu & Kashmir by revising Article 370 of the Constitution; regional autonomy to be provided to Jammu and Ladakh regions within the state framework; • Negotiations to be conducted with all those groups in the North-East who are advocating separatism while firmly defending the integrity of the Indian Union; • Special provision for the development of the North-Eastern region with particular emphasis on infrastructure and development of employment opportunities."
129,Foreign Policy It is essential to reverse the harmful foreign policy positions of the Vajpayee government.
130,"The CPI (M) will work for: • A foreign policy which is independent, non-aligned and defends India from imperialist pressures; initiative to revive non-aligned movement; • An active foreign policy which opposes US superpower hegemony and NATO's new global intervention; and active solidarity with countries which are subject to US and NATO aggression like Iraq, Yugoslavia, Cuba; • Democratising the Security Council and United Nations structure; • According special attention to resume dialogue with China to improve relations; for closer ties with Russia and special efforts to coordinate and foster relations between India, Russia and China; • A resumption of dialogue with Pakistan on clear understanding that there will be no third party role; Emphasis on people-to-people relations between the two countries and maintain cultural and trade relations to create a proper atmosphere for defusing tensions and improving overall relations."
131,• Acceleration of steps to improve relations with neighbours and promote SAARC cooperation.
132,8 National Security The CPI (M) stands for: • Halting nuclear weaponisation; revert to nuclear policy of developing India's independent technological potential while not signing any international treaty which is discriminatory.
133,• Not signing CTBT; work for universal nuclear disarmament and a commitment by the nuclear weapon states for denuclearisation within a time frame.
134,• Giving moratorium on testing parliamentary sanction and opening talks with Pakistan for a denuclearised South Asian environment.
135,• Cancellation of the Indo–US military cooperation agreement which links up India with the US global strategy.
136,• Removal of nuclear weapons from the US military base in Diego Garcia in the Indian Ocean.
137,• Create a national security apparatus which will work within the framework of the parliamentary democratic system.
138,Economic Policies: For Equitable Growth and Self-Reliance The policies of liberalisation since 1991 have benefited the affluent 10 per cent of the upper strata while subjecting the rest to acute deprivation.
139,The BJP-led government has pushed ahead with this disastrous policy which suits the interests of the IMF– World Bank driven globalisation and in the interests of the imperialist countries.
140,"As against this, the CPI (M) sets out a comprehensive platform of economic policies."
141,"Land Reforms • The Central government has to give a new thrust for speedy and comprehensive steps for implementing land reforms; • Stop dilution of land ceiling laws to favour big business and foreign companies; plug loopholes in existing legislation; • Take over and distribution of surplus land above the ceiling, handing over cultivable waste land to the landless, correction of land records, security for tenants and issuance of joint pattas for women."
142,Develop Agriculture • Prohibit sale of agricultural lands to foreign companies or their subsidiaries for agri-business.
143,Increased public investment in agriculture.
144,• • Ensure self-sufficiency in foodgrains production; remunerative prices for crops through market intervention by the state.
145,• Greater allocation for developing irrigation facilities.
146,• Comprehensive insurance schemes for crop and cattle.
147,9 • Expansion of credit facilities for poor peasants and small farmers.
148,"Industries The CPI (M) stands for: • Increased public investment in infrastructure; review of power and telecom policies in tune with interests of national development; adequate public outlays for power, communications, railways and road development."
149,• Strengthening of the public sector in the core and strategic areas by injecting fresh capital and technology.
150,• Foreign capital being solicited to in those areas for which clear-cut priorities are set.
151,These priorities are to be determined by the need for developing new production capacities and acquiring new technology.
152,• Protection of domestic industry from indiscriminate lowering of import duties and takeover of existing Indian companies by foreign companies.
153,"Private sector to be encouraged to invest in new productive areas, R&D and the service sector like tourism."
154,• Encouragement to small scale industries with adequate incentives and sufficient credit from banks.
155,"• Protection of traditional industries such as handloom, coir, etc."
156,Yarn to be provided at control rates for the weavers and adequate facilities for the marketing of their goods.
157,"• Ending the deployment of deep-sea fishing trawlers, protecting rights of the fishing community."
158,"WTO • During review of WTO Agreement in 1999, India should insist on critical review of the agreements made in the Uruguay Round; safeguard India's position with regard to TRIPS and oppose any multilateral agreement on investments; work for removal of WTO incompatible national legislations like Section 301 of US Trade Act."
159,Financial Sector The insurance sector should remain in the public sector; LIC and GIC should be streamlined for greater efficiency; foreign companies should be barred entry into this sector; the trend of privatising the banking sector should be halted; reforms should be introduced to make banks accountable and restore social priorities; there should be proper regulation of non-banking finance companies to safeguard interests of depositors; capital flows should be regulated; no convertibility should be allowed on the capital account.
160,"Resource Mobilisation • Broaden the direct taxes base; instead of reducing taxes on the rich, raise the tax rates on the affluent sections (corporate tax, wealth tax, income tax, etc.)"
161,and ensure strict compliance; tax evasion should be firmly dealt with.
162,• Unearth black money kept inside and outside the country and tap it for 10 productive purposes.
163,• Wasteful expenditure and the growing misuse of public money by officialdom and public servants should be stopped.
164,Public Distribution System The CPI (M) attaches the highest priority for strengthening and expansion of the public distribution system.
165,"In a poverty-stricken country like India, it is the states' responsibility to provide minimum food supply to eliminate hunger and malnutrition."
166,"For this, the CPI (M) demands that: • 14 essential commodities should be included for supply in the PDS."
167,• A network of fair-price shops and cooperatives should cover all panchayats.
168,"• Overhead costs should be curtailed, wastage and leakage from the FCI and distribution mechanism should be eliminated."
169,Rights of the Working People Agricultural Workers: The CPI (M) will uncompromisingly struggle for: A Central legislation for agricultural workers to protect the basic rights which are as follows: • Guaranteed minimum wages; • Pension and other social benefits; • Provision of homestead lands; • Equal wages for equal work for women agricultural workers.
170,Working Class The BJP-led government's policies intensified the industrial crisis leading to the closure of thousands of industrial units and loss of employment for lakhs of workers.
171,"The onslaught on the public sector, the decision to close down eight public sector units and the failure to revive potentially viable units have led to a crisis of employment."
172,"Side by side, undermining existing laws by allowing employers to violate labour laws have increased the exploitation of the workers."
173,"The CPI (M) will fight for: • Revival of sick units, ending of disinvestment in public sector units, revival of sick public sector units by a suitable package of measures including reorienting the government policy on tax-concession, order-placement, credit, etc."
174,"in that direction; the revival of NTC mills, fertiliser units, IISCO, IDPL, etc."
175,should be part of an overall thrust to rejuvenate the public sector and revive industries vitally important for self reliant growth.
176,Workers' dues must get the priority over all other items while settling liabilities of any company/industrial units.
177,"• Provision of need-based minimum wage for workers, revision of the statutory minimum wages in that direction with the provision of automatic linkage of the 11 emoluments with price index."
178,• Rejuvenating the enforcement machinery of labour laws and social security legislations and suitable amendments in the laws to provide for stringent punishment for violation and expanding their coverage.
179,"• Comprehensive legislations for the workers in the unorganised sector and home-based workers to govern their service condition, job-security, grievance- redressal and social security benefit."
180,• Recognition of trade unions through secret ballot and protection of trade union rights and right to collective bargaining by a truly representative forum.
181,• Effective scheme for workers' participation in management in both public and private sector.
182,"• Removal/enhancement of obsolete ceilings in Payment of Bonus Act, Workmen's Compensation Act, Industrial Dispute Act and other legislations."
183,Women Implementation of one-third reservation for women in legislatures is still pending.
184,"Overcoming opposition, the new Parliament will have to adopt this measure."
185,"Apart from this, the CPI (M) actively supports: • Equal legal rights for women of all communities."
186,• Compulsory registration of marriage.
187,Adoption of dowry eradication as a national mission.
188,• Equal property and inheritance rights for women and joint matrimonial property rights.
189,• Special schemes for female-headed households in rural areas and increasing employment opportunities for women.
190,• Legislation against domestic violence and sexual abuse of children.
191,• A comprehensive media policy to check the growing trend of commodification of women.
192,Child Care • Universalisation of child care services and an end to privatisation of anganwadis and other such social services.
193,• Abolition of child labour and enforcing rights of children subject to such exploitation.
194,"Education The CPI (M), which is leading the governments in West Bengal, Kerala and Tripura, has been striving to see that adequate provision is made for education in the state budgets."
195,"At the national level, the CPI (M) will strive for: • Introduction of compulsory primary education accompanied by free mid-day meals, provision of text books and other education materials."
196,• Free and universal education to be guaranteed for all children upto the age of 14 years.
197,"The 83rd Constitutional Amendment Bill, which lapsed, must be 12 revived and adopted to make education a basic right for children upto the age of • Rapid expansion of primary school network."
198,• Upgradation of the salaries of elementary school teachers and providing schools equipped with minimum facilities.
199,"• Syllabus and curriculum to inculcate secularism, progressive values, scientific temper and national unity."
200,• Allocation of 10 per cent of Union Budget for education.
201,• Support to mass literacy programmes.
202,• Democratisation of the higher education system and development of vocational education.
203,Health The public health system is in a state of disarray.
204,The trend towards privatisation of health services must be reversed.
205,The CPI (M) advocates: Increasing the expenditure on public health to 5 per cent of the GDP.
206,• • Provision of adequate network of primary health centres with sufficient stocks of medicines.
207,• Ensuring supply of essential drugs at prices affordable to the common people.
208,• Drug price control to be vigorously implemented to check price increases.
209,"Increasing the outlay on preventive medicine and eradication of diseases like malaria, tuberculosis, etc."
210,Water Resources • There should be a National Water Policy.
211,Provide for community/panchayat role in management of water resources.
212,Exercise control on indiscriminate use of ground water.
213,• Drinking water is a problem in 2 lakh villages.
214,Provision of potable drinking water to all villages must be a priority task.
215,Housing • Housing to be accorded the status of a basic right; housing schemes for urban and rural poor to be stepped up.
216,Employment • Guarantee right to work as a fundamental right.
217,• Provide food-for-work programme to generate employment.
218,"• Ensure adequate credit for self-employment schemes for educated unemployed, artisans and handicapped persons."
219,• Scrap freeze in recruitment in the Government sector.
220,Pensions • Grant of pension to working people as a third benefit; one-rank one-pension for 13 ex-servicemen; remove 33 years conditionality for drawing pension of 50 per cent of salary for non-commissioned ranks; upgrading pensions of all categories of pensioners in consonance with the cost of living.
221,Social Justice for Dalits and Adivasis The CPI (M) calls for: • Stringent action against untouchability and atrocities against scheduled castes and scheduled tribes and invoking of the provisions of the Prevention of Atrocities Act for this purpose.
222,• Ensuring that quotas for reservation for scheduled castes and tribes are filled up.
223,• OBC reservation to be implemented.
224,• Reservation to be extended to dalit Christians.
225,• Protect land rights of adivasis and restore land alienated from them illegally.
226,• Ensure the right of access to forests and forest produce; the Forest Act be amended for this purpose.
227,• Regional autonomy should be provided for tribal compact areas wherever necessary.
228,• Foster the development of the languages and culture of adivasis.
229,Santhali should be accorded national language status in the Eighth schedule of the Constitution.
230,"Rights of Minorities Equal rights and opportunities for all citizens, irrespective of religion or caste are essential for a secular-democratic society."
231,The Muslim community and some other minorities suffer from various forms of deprivation and discrimination.
232,Special measures are required to remove their social and economic backwardness.
233,"While doing so, the CPI(M) appeals to the minorities to abjure fundamentalism and join the common endeavour to struggle for a just society."
234,• Protection of the just rights of the minorities; implement provisions of the Constitution to prevent discrimination.
235,• Special schemes for promoting educational facilities for deprived minorities; Provision for equal opportunities for employment.
236,• Protection and encouragement of Urdu language.
237,Youth • A national youth policy must be adopted which comprehensively deals with issues of special concern to youth.
238,• The State should provide for an adequate network of sports and cultural facilities for youth in all parts of the country.
239,Media and Culture The State should provide facilities for development of secular and democratic culture.
240,The diverse cultural traditions of the people must find free expression and equal treatment by the State.
241,14 • All national languages listed in the Eighth Schedule of the Constitution should be equally encouraged and developed.
242,• The Prasar Bharati Corporation must be strengthened so that it becomes a genuine public broadcasting service.
243,There has to be legislation to prevent growth of monopolies in the print and electronic media which is inherently undemocratic.
244,No foreign ownership of print media.
245,• Enforce a media code for satellite broadcasters.
246,• Ensure that states have a say in media policy and programmes in the public broadcasting service.
247,"Science and Technology In promoting self-reliance, it is essential that a science and technology policy be adopted which provides for development of scientific institutions and development of substantial R&D potential in India."
248,Strong R&D base by public funded R&D through CSIR laboratories etc.
249,Environment • Formulate an environment policy which is integrated with the needs of rapid and sustainable development.
250,• Strict control must be exercised against industries using hazardous technology which affects the health of workers and the neighbourhood.
251,• Stringent action should be taken against contractors illegally cutting down forests.
252,• There has to be a uniform national rehabilitation policy for persons displaced by development projects.
253,• Develop mass-transit and public transport system to curb vehicular pollution.
254,Electoral Reforms These must include: • Amendment of Section 77 of the Representation of People's Act to plug loopholes in enforcing ceiling on election expenditure by bringing all election expenses including those by parties and friends in the candidate’s expenditure.
255,• Proportional representation with partial list system.
256,• Effective steps to prohibit persons with criminal background from contesting elections.
257,• State funding in the form of material for recognised political parties based on the Indrajit Gupta Committee Report.
258,• Amendment of the Anti-Defection Law so that any elected representative who leaves the party has to vacate the seat forthwith.
259,"Curb Corruption • Steps to curb corruption at all levels, particularly those holding high public office."
260,Lok Pal Act should be adopted which will provide for investigation and binding recommendation of prosecution of public servants upto the level of Prime Minister.
261,Provide for CBI and other investigating agencies getting functional autonomy to investigate cases leading upto prosecution.
262,• The system of governance should be made more accountable for which citizens 15 must have the right to information for which a Right to Information Act must be passed.
263,Judicial Reforms • Constituting a National Judicial Commission for appointment of judges of High Courts and Supreme Court.
264,Reforms in judicial system to provide speedy relief at affordable cost to the common people and to heighten accountability.
265,"• There should be a proper balance in the relations between the legislature, judiciary and the executive and the exercise of powers in their respective spheres without encroaching into the legitimate domain of the other organs."
266,"Vote for CPI(M) Strengthen the Left Support Left, democratic and secular forces for a secular government 16"
